Title,Address,Rent,URL
⎝NO FEE: City+River Views + LUXURY 3 Br/2 Bath**Pool+Sundeck+Gym**, (Midtown West 50's / Columbus Circle),"$14,000",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-cityriver-views-luxury/7320213026.html
"AWESOME 3 bed TRIPLEX  2 full baths, SPACIOUS!", (East Village),"$4,600",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-awesome-bed-triplex-full-baths/7320152712.html
"AWESOME 3 bed TRIPLEX  2 full baths, SPACIOUS!", (East Village),"$4,600",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-awesome-bed-triplex-full-baths/7320151416.html
BRAND NEW CONSTRUCTION STEPS TO CUNY CITTY COLLEGE COLUMBIA AND TRAINS, (Inwood / Wash Hts),"$3,000",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-brand-new-construction-steps/7319920751.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7319516141.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7319337177.html
Beautiful 3 bedroom 2bathroom in Roosevelt Island, (Upper East Side),"$7,284",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-bedroom-2bathroom-in/7319321487.html
3 bedroom/ 2 bath with triple exposure., (Midtown West),"$5,317",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-bedroom-bath-with-triple/7318777741.html
"*NEW 5/14!*FLEX 3, 2 BATHS!*DRMN,GYM,SUNDECK,PRIME TRIBECA LOC,NO FEE!", (TriBeCa),"$4,750",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-new-14flex-2/7318765968.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7318039161.html
1300 SQF +++++++24/7 doorman+++++++washer & Dryer in unit, (Financial District),"$4,400",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-1300-sqf-24-doormanwasher/7317951739.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7317308600.html
Amazing West Vil/Chelsea Location + Free Month * Private Rooftop, (Chelsea),"$6,142",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-amazing-west-vil-chelsea/7317175209.html
"WEST 19 Street/7th Ave Large 3 bedrooms, 2 month free ,No fee ,deal", (Chelsea),"$4,900",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-west-19-street-7th-ave-large/7317144928.html
NOFEE***Large 3BR/2BT in Highend Doorman Building/Gym/Shuttle Bus/Roof, (Upper East Side),"$5,400",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-nofeelarge-3br-2bt-in-highend/7316913825.html
NOFEE!Amazing true 3BR/2BT Penthouse w/W&D on 75th St. and 5th Avenue, (Upper East Side),"$5,495",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-nofeeamazing-true-3br-2bt/7316837695.html
Beautiful 3BR/2BA w/ROOF DECK>NO FEE, (East Village),"$5,969",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-3br-2ba-roof-deckno/7316828891.html
"NO FEE- large duplex, 3BR/2BATH, outdoor space,elevator", (Upper East Side),"$2,995",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-large-duplex-3br-2bath/7316782203.html
"AWESOME 3 bed TRIPLEX  2 full baths, SPACIOUS!", (East Village),"$4,600",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-awesome-bed-triplex-full-baths/7316470798.html
__WASHER AND DRYER__KING BEDROOMS ___WHITE GLOVE SERVICE____, (Financial District),"$4,100",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-washer-and-dryerking-bedrooms/7316451591.html
Three Bedroom- Two Bath with Amazing City Views * Luxury Doorman, (Midtown West),"$8,281",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-three-bedroom-two-bath-with/7316450053.html
"2,383 / !NO FEE! 3 Bedroom, Renovated Apartment Available NOW", (Harlem / Morningside),"$2,383",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-2383-no-fee-bedroom-renovated/7316354327.html
"3,100 / 3br - One Free Month/ Spacious, renovated apartment", (Harlem / Morningside),"$3,100",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-br-one-free-month-spacious/7316298350.html
..... 1000 SQ FT  HUGE FT LIVING ROOM.... 2 BATHS .., (Chinatown / Lit Italy),"$3,450",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-sq-ft-huge-ft-living-room/7315220327.html
____WASHER AND DRYER___FREE AMENITIES____24/7 DOORMAN, (Financial District),"$4,175",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-washer-and-dryerfree/7315044192.html
KING BEDROOMS____WASHER AND DRYER___24/7 DOORMAN___, (Financial District),"$4,175",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-king-bedroomswasher-and/7314915194.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7314558260.html
HUGE  3-BR /2 BA | FREE UTILITIES & FREE WIFI - SEE FLOORPLAN, (East Village),"$5,150",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-huge-br-ba-free-utilities-free/7314468742.html
Too Good W Good Views | No Fee | Three Bed 2 Bath Harlem, (Harlem / Morningside),"$2,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-too-good-good-views-no-fee/7313918666.html
Grand 3BD/2BA 1250SF luxury residence right by the Central Park!, (Upper West Side),"$7,500",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-grand-3bd-2ba-1250sf-luxury/7313829507.html
NO FEE HUGE 3 BED 2 BATH (FLEX 4) 24H DOORMAN, (Financial District),"$4,998",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-huge-bed-bath-flex-24h/7313793600.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7313163116.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7312950864.html
"RENOVATED! XL, Bright & True 3BR/2BA Washer&Dryer| Dishwasher| SS App", (Harlem / Morningside),"$2,600",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-renovated-xl-bright-true-3br/7312745185.html
3Bd - 2Ba Condo w/ Home Office - Eastern Exposure - No Fee, (West Harlem),"$4,350",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-3bd-2ba-condo-home-office/7312378683.html
"Beautiful 3 BD, 2 BA in Lenox Hill!!!", (Upper East Side),"$3,995",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-bd-ba-in-lenox-hill/7311958489.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7311558414.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7311175184.html
Windows everywhere____Hardwood floors_____Washer and dryer___, (Financial District),"$3,500",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-windows-everywherehardwood/7311084981.html
MODERN APT: MASSIVE - 4 MOS FREE- ROOF TOP - W/D IN UNIT - SAUNA - DRM, (Financial District),"$4,903",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-modern-apt-massive-mos-free/7311038002.html
Massive Luxury Residence Prime Upper East Side w/ Top Tier Amenities!, (Upper East Side),"$4,995",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-massive-luxury-residence-prime/7310872340.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7310660561.html
"Sun filled 3 BR / 2bth on a quiet block - Gym, laundry,  no fee.", (Harlem / Morningside),"$2,100",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-sun-filled-br-2bth-on-quiet/7310626056.html
"⎝NO FEE+3 Mths Free*Best Kept Secret Flex 3 BR+W/D *Sundeck, Pool, Gym", (Upper East Side / Roosevelt Island),"$4,000",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee3-mths-freebest-kept/7310623970.html
⎝Views + Pool+ LUXURY = Unbelievable 3 BR/2 BA in SKY + FREE RENT!, (Midtown East 30's/ Murray Hill / East River),"$9,489",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-views-pool-luxury-unbelievable/7310600879.html
⎝NO FEE: City+River Views + LUXURY=Spacious 3 br**Pool+Sundeck+Gym**, (Lower East Side / Chinatown),"$8,560",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-cityriver-views/7310585532.html
"AMAZING DEAL!! 3BR,2BATH PERFECT FOR ROOMMATES E78 St/3rd Ave", (Upper East Side),"$3,000",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-amazing-deal-3br2bath-perfect/7310275946.html
Beautiful 3br/2ba House on Golf Course in Chico CA for Rent, (Chico),"$2,415",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/chico-beautiful-3br-2ba-house-on-golf/7310065380.html
"Bright 3 BD, 2 BA in prime area!!!", (Upper West Side),"$6,000",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-bright-bd-ba-in-prime-area/7309922919.html
Sunny 3 Bedroom -- Oversized Living and Dining Room -- Luxury Building, (Midtown West),"$3,750",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-sunny-bedroom-oversized-living/7309734490.html
NO FEE__STUNNING 3 BR+ 2BATH _ROOMMATES DEAL 7 ST & AVE C / VIDEO !!, (East Village),"$3,400",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-feestunning-br-2bath/7309037964.html
Duplex! LRG & True 3BR/2BA Private Backyard| Dishwasher| Queen BDRM's, (Midtown West),"$3,375",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-duplex-lrg-true-3br-2ba/7308779621.html
No Fee + 3Mnts Free***24_ Lux_Drmn_**Gym_Elevator_Laundry_Rooftop, (East Harlem),"$3,270",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-3mnts-free24/7308205683.html
No Fee+2Mnts Free_XL_Flex_ 3***Real Wall***24H_Lux_ Drmn_ Bldg**Gym/Po, (Upper East Side),"$3,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee2mnts-freexlflex-3real/7308205326.html
West 57th St - ROOM FOR RENT in a flex 3 - 2 FREE MONTHS - NO FEE, (Midtown West),"$1,233",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-west-57th-st-room-for-rent-in/7308167195.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7308067354.html
"Sun filled 3 BR / 2bth on a quiet block - Gym, laundry,  no fee.", (Harlem / Morningside),"$2,100",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-sun-filled-br-2bth-on-quiet/7307752906.html
..... 1000 SQ FT ..32 FT LIVING ROOM.... 2 BATHS .., (Chinatown / Lit Italy),"$3,199",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-sq-ft-32-ft-living-room-baths/7307742129.html
"Huge Open Living with Skylights, Exposed Brick, 2 Bath, Storage Galore", (East Harlem),"$3,725",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-huge-open-living-with/7307725452.html
GORGEOUS FLEX W/ AMPLE CLOSET SPACE: POOL - GYM - ROOF TOP - NO FEE, (Financial District),"$5,367",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-gorgeous-flex-ample-closet/7307687905.html
"XL, Reno & True 3BR/2BA Washer&Dryer in Unit| Expo Brick| Dishwasher", (Inwood / Wash Hts),"$2,850",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-xl-reno-true-3br-2ba/7307664175.html
Luxury Residence Stunning Water Views! W/D & Top Tier Amenities!, (Upper East Side),"$4,995",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-luxury-residence-stunning/7307295473.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7307201859.html
No Fee + 3Mnts Free***24_ Lux_Drmn_**Gym_Elevator_Laundry_Rooftop, (East Harlem),"$3,270",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-3mnts-free24/7307133576.html
No Fee+2Mnts Free_XL_Flex_ 3***Real Wall***24H_Lux_ Drmn_ Bldg**Gym/Po, (Upper East Side),"$3,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee2mnts-freexlflex-3real/7307132695.html
"3BR,2BATH,WEST19 STREET/7TH AVE,ELEVATOR/LAUNDRY BLDG, FREE RENT", (Chelsea),"$4,900",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-3br2bathwest19-street-7th/7307120878.html
High floor ____washer and dryer___multiple exposure___doorman 24/7, (TriBeCa),"$4,900",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-high-floor-washer-and/7306581791.html
Bed Stuy Apt w Yard!, (Brooklyn),"$3,064",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-bed-stuy-apt-yard/7321821975.html
HUGE 3BR 2BATH AVAILABLE IMMEDIATELY!!, (BROOKLYN),"$2,500",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-huge-3br-2bath-available/7321821204.html
Bed Stuy apts, (Brooklyn),"$2,672",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-bed-stuy-apts/7321815539.html
Spacious!_2 Balconies_2 Baths_Near All!!!, (Park Slope - Gowanus),"$2,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-spacious2-balconies2-bathsnear/7321790435.html
Fully renovated 3bed/1.5bath - Dishwasher - Great natural light!, (BUSHWICK),"$2,399",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-fully-renovated-3bed-15bath/7321784334.html
Large Three Bedroom Apartment_Laundry_Super_L Train, (Brooklyn),"$2,495",http://sfbay.craigslist.orghttps://newyork.craigslist.org/lgi/apa/d/brooklyn-large-three-bedroom/7321760793.html
**APARTMENT FOR RENT IN FRESH MEADOWS**, (fresh meadows),"$2,600",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/fresh-meadows-apartment-for-rent-in/7321724871.html
$ / 3br - 1275ft Big Three Bedroom & Two Full Bath.," (Ozone Park, 99th street & 101 avenue)","$2,300",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/ozone-park-3br-ft-big-three-bedroom-two/7321717600.html
"3 bedroom, 2 bath with parking, laundry, more!", (Bronxville Vicinity),"$2,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/wch/apa/d/yonkers-bedroom-bath-with-parking/7321699536.html
🌳Garden Level Duplex w/ Private Yard & Shed 2 blocks from C train ⭐️," (Bed-Stuy, Brooklyn)","$2,950",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-garden-level-duplex-private/7321684363.html
"$2,6oo JUMBO 3Bed 2Bath w/Balcony+Parking", (near E-F-R-M+#7 trains),$2,http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/woodside-26oo-jumbo-3bed-2bath/7321678225.html
💎Gorgeously renovated 3 Bed 2 Bath Duplex off the 2/5 train🔑, (Flatbush),"$2,400",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeously-renovated-bed-bath/7321674531.html
3 Bedroom 2 Bath Apartment, (Tuckahoe),"$4,500",http://sfbay.craigslist.orghttps://newyork.craigslist.org/wch/apa/d/tuckahoe-bedroom-bath-apartment/7321671373.html
No Fee & 1 Mo Free* Renovated 3 Bed 2 Bath Near N & W Trains *, (Astoria),"$2,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/astoria-no-fee-mo-free-renovated-bed/7321630669.html
BEAUTIFUL 3bd 2bath WITH WASHER/DRYER IN UNIT in private townhouse!, (Crown Heights),"$2,500",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-3bd-2bath-with/7321630465.html
►►3 BEDROOM 2 BATH IN RENOVATED BROWNSTONE IN PRIME BED-STUY★NO FEE★, (Bed-Stuy),"$2,750",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-bedroom-bath-in-renovated/7321585254.html
"No Fee! Stunning  3Bed, with 2Bath + Private Balcony! Central A/C! PLG", (prospect lefferts gardens),"$2,895",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-stunning-3bed-with/7321556289.html
Full house rent for $ 2500, (flushing),"$2,500",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/flushing-full-house-rent-for-2500/7321549144.html
BEAUTIFUL 3 BEDROOMS / 2 BATHS RENOVATED APARTMENT *NO FEE* Astoria, (Astoria LIC),"$2,600",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/astoria-beautiful-bedrooms-baths/7321494193.html
[Bed-Stuyv]3Bed/2Bath/1D/1L Apartment for Rent, (Bedford–Stuyvesant),"$2,250",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-bed-stuyv3bed-2bath-1d-1l/7321480576.html
Large 3 Bed/2Bath/AC/Dish/A/C/F/S/G trains/nofee, (Prospect Heights),"$3,950",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-large-bed-2bath-ac-dish-c-s/7321471851.html
Penthouse 3 bed/2Bth/20 ft Ceilings/Shared Roofdeck/AC/Lounge/NEWDEV, (Long Island City),"$4,850",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/long-island-city-penthouse-bed-2bth-20/7321463793.html
"🖼 No Fee, picturesque 3-Bed in Bedstuy, steps away from the AC lines.", (BedStuy),"$2,750",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-picturesque-bed-in/7321390199.html
3 Bed Room Apartment for rent," (Jamaica, NY 11432)","$2,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/jamaica-bed-room-apartment-for-rent/7321293941.html
Beautiful Cozy new built near 7 trian, (Woodside),"$2,400",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/elmhurst-beautiful-cozy-new-built-near/7321253037.html
"3++bdrms / 2 bath duplex - FREE utilities, cable TV and WiFi!", (Windsor Terrace / Park Slope / Prospect Park / Brooklyn),"$4,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-3bdrms-bath-duplex-free/7321203179.html
3 bdrm / 2 bath duplex - WiFi included -- best neighborhood!, (Windsor Terrace / Park Slope / Prospect Park / Brooklyn),"$3,500",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-bdrm-bath-duplex-wifi-included/7321198783.html
AMAZING 3Br w/ Washer and Dryer!, (Ridgewood),"$2,400",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/ridgewood-amazing-3br-washer-and-dryer/7321196727.html
!!Stunning 3BR/2BA In Brownstone In BedStuy!!, (BedStuy),"$2,750",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-3br-2ba-in-brownstone/7321179442.html
*** No FEE *** 30th Ave *** Pets Okay ***, (Astoria),"$2,600",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/astoria-no-fee-30th-ave-pets-okay/7321157460.html
APARTMENT FOR RENT, (Forest Hills),"$2,350",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/forest-hills-apartment-for-rent/7321148348.html
Spacious 3br 2 full bath apt in brownstone home., (Bed-Stuy),"$2,750",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-3br-full-bath-apt-in/7321139867.html
Private home for rent, (STAMFORD),"$2,800",http://sfbay.craigslist.orghttps://newyork.craigslist.org/fct/apa/d/stamford-private-home-for-rent/7321136025.html
"Laundry, Gym, Furnished rooftop, lounge + much more", (Bushwick),"$2,800",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-laundry-gym-furnished-rooftop/7321121619.html
No Fee & 1 Mo Free* Renovated 3 Bed 2 Bath Near N & W Trains *, (Astoria),"$2,700",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/astoria-no-fee-mo-free-renovated-bed/7321117649.html
For Rent, (Hollis),"$2,500",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/hollis-for-rent/7321095421.html
Williamsburg 3 bed - Laundry in-unit!, (Williamsburg),"$3,750",http://sfbay.craigslist.orghttps://newyork.craigslist.org/brk/apa/d/brooklyn-williamsburg-bed-laundry-in/7321086568.html
Amazing 3 Bed 2 Bath, (Woodside),"$2,800",http://sfbay.craigslist.orghttps://newyork.craigslist.org/que/apa/d/woodside-amazing-bed-bath/7321049045.html
